Source,Target,Type,Weight
23,12,Undirected,1
12,23,Undirected,1
24,1,Undirected,2
1,24,Undirected,2
24,2,Undirected,1
2,24,Undirected,1
24,3,Undirected,1
3,24,Undirected,1
24,4,Undirected,2
4,24,Undirected,2
24,18,Undirected,1
18,24,Undirected,1
24,19,Undirected,1
19,24,Undirected,1
25,1,Undirected,22
1,25,Undirected,22
25,2,Undirected,19
2,25,Undirected,19
25,3,Undirected,19
3,25,Undirected,19
25,4,Undirected,19
4,25,Undirected,19
25,5,Undirected,5
5,25,Undirected,5
25,8,Undirected,4
8,25,Undirected,4
25,9,Undirected,5
9,25,Undirected,5
25,10,Undirected,3
10,25,Undirected,3
25,11,Undirected,1
11,25,Undirected,1
25,12,Undirected,2
12,25,Undirected,2
25,14,Undirected,1
14,25,Undirected,1
25,16,Undirected,1
16,25,Undirected,1
25,18,Undirected,1
18,25,Undirected,1
25,24,Undirected,1
24,25,Undirected,1
26,1,Undirected,4
1,26,Undirected,4
26,2,Undirected,3
2,26,Undirected,3
26,3,Undirected,4
3,26,Undirected,4
26,4,Undirected,5
4,26,Undirected,5
26,24,Undirected,1
24,26,Undirected,1
26,25,Undirected,2
25,26,Undirected,2
27,1,Undirected,91
1,27,Undirected,91
27,2,Undirected,79
2,27,Undirected,79
27,3,Undirected,78
3,27,Undirected,78
27,4,Undirected,73
4,27,Undirected,73
27,5,Undirected,24
5,27,Undirected,24
27,8,Undirected,9
8,27,Undirected,9
27,9,Undirected,13
9,27,Undirected,13
27,10,Undirected,9
10,27,Undirected,9
27,11,Undirected,7
11,27,Undirected,7
27,12,Undirected,16
12,27,Undirected,16
27,13,Undirected,9
13,27,Undirected,9
27,16,Undirected,1
16,27,Undirected,1
27,17,Undirected,1
17,27,Undirected,1
27,18,Undirected,1
18,27,Undirected,1
27,21,Undirected,3
21,27,Undirected,3
27,23,Undirected,1
23,27,Undirected,1
27,24,Undirected,1
24,27,Undirected,1
27,25,Undirected,4
25,27,Undirected,4
27,26,Undirected,1
26,27,Undirected,1
28,1,Undirected,3
1,28,Undirected,3
28,2,Undirected,3
2,28,Undirected,3
28,3,Undirected,3
3,28,Undirected,3
28,4,Undirected,3
4,28,Undirected,3
28,5,Undirected,1
5,28,Undirected,1
28,25,Undirected,1
25,28,Undirected,1
29,1,Undirected,12
1,29,Undirected,12
29,2,Undirected,12
2,29,Undirected,12
29,3,Undirected,11
3,29,Undirected,11
29,4,Undirected,11
4,29,Undirected,11
29,5,Undirected,2
5,29,Undirected,2
29,9,Undirected,1
9,29,Undirected,1
29,11,Undirected,1
11,29,Undirected,1
29,12,Undirected,2
12,29,Undirected,2
29,21,Undirected,1
21,29,Undirected,1
29,27,Undirected,5
27,29,Undirected,5
29,28,Undirected,1
28,29,Undirected,1
30,1,Undirected,9
1,30,Undirected,9
30,2,Undirected,9
2,30,Undirected,9
30,3,Undirected,7
3,30,Undirected,7
30,4,Undirected,8
4,30,Undirected,8
30,5,Undirected,4
5,30,Undirected,4
30,11,Undirected,1
11,30,Undirected,1
30,12,Undirected,2
12,30,Undirected,2
30,25,Undirected,1
25,30,Undirected,1
30,27,Undirected,2
27,30,Undirected,2
30,28,Undirected,1
28,30,Undirected,1
30,29,Undirected,3
29,30,Undirected,3
31,1,Undirected,2
1,31,Undirected,2
31,2,Undirected,2
2,31,Undirected,2
31,4,Undirected,1
4,31,Undirected,1
31,5,Undirected,1
5,31,Undirected,1
32,1,Undirected,2
1,32,Undirected,2
32,2,Undirected,2
2,32,Undirected,2
32,3,Undirected,2
3,32,Undirected,2
32,4,Undirected,2
4,32,Undirected,2
32,26,Undirected,1
26,32,Undirected,1
33,1,Undirected,56
1,33,Undirected,56
33,2,Undirected,50
2,33,Undirected,50
33,3,Undirected,51
3,33,Undirected,51
33,4,Undirected,46
4,33,Undirected,46
33,5,Undirected,14
5,33,Undirected,14
33,6,Undirected,1
6,33,Undirected,1
33,8,Undirected,4
8,33,Undirected,4
33,9,Undirected,4
9,33,Undirected,4
33,10,Undirected,2
10,33,Undirected,2
33,11,Undirected,5
11,33,Undirected,5
33,12,Undirected,6
12,33,Undirected,6
33,13,Undirected,4
13,33,Undirected,4
33,14,Undirected,1
14,33,Undirected,1
33,16,Undirected,3
16,33,Undirected,3
33,21,Undirected,1
21,33,Undirected,1
33,25,Undirected,4
25,33,Undirected,4
33,26,Undirected,2
26,33,Undirected,2
33,27,Undirected,7
27,33,Undirected,7
33,30,Undirected,1
30,33,Undirected,1
33,32,Undirected,1
32,33,Undirected,1
34,1,Undirected,77
1,34,Undirected,77
34,2,Undirected,68
2,34,Undirected,68
34,3,Undirected,71
3,34,Undirected,71
34,4,Undirected,68
4,34,Undirected,68
34,5,Undirected,20
5,34,Undirected,20
34,8,Undirected,5
8,34,Undirected,5
34,9,Undirected,6
9,34,Undirected,6
34,10,Undirected,5
10,34,Undirected,5
34,11,Undirected,8
11,34,Undirected,8
34,12,Undirected,5
12,34,Undirected,5
34,13,Undirected,7
13,34,Undirected,7
34,16,Undirected,4
16,34,Undirected,4
34,20,Undirected,1
20,34,Undirected,1
34,21,Undirected,1
21,34,Undirected,1
34,25,Undirected,3
25,34,Undirected,3
34,26,Undirected,2
26,34,Undirected,2
34,27,Undirected,14
27,34,Undirected,14
34,30,Undirected,1
30,34,Undirected,1
34,32,Undirected,1
32,34,Undirected,1
34,33,Undirected,49
33,34,Undirected,49
35,1,Undirected,138
1,35,Undirected,138
35,2,Undirected,116
2,35,Undirected,116
35,3,Undirected,114
3,35,Undirected,114
35,4,Undirected,103
4,35,Undirected,103
35,5,Undirected,29
5,35,Undirected,29
35,6,Undirected,2
6,35,Undirected,2
35,8,Undirected,5
8,35,Undirected,5
35,9,Undirected,8
9,35,Undirected,8
35,10,Undirected,7
10,35,Undirected,7
35,11,Undirected,5
11,35,Undirected,5
35,12,Undirected,12
12,35,Undirected,12
35,13,Undirected,2
13,35,Undirected,2
35,15,Undirected,1
15,35,Undirected,1
35,16,Undirected,1
16,35,Undirected,1
35,18,Undirected,2
18,35,Undirected,2
35,19,Undirected,1
19,35,Undirected,1
35,21,Undirected,2
21,35,Undirected,2
35,22,Undirected,1
22,35,Undirected,1
35,24,Undirected,2
24,35,Undirected,2
35,25,Undirected,7
25,35,Undirected,7
35,26,Undirected,1
26,35,Undirected,1
35,27,Undirected,23
27,35,Undirected,23
35,28,Undirected,1
28,35,Undirected,1
35,29,Undirected,4
29,35,Undirected,4
35,30,Undirected,5
30,35,Undirected,5
35,32,Undirected,1
32,35,Undirected,1
35,33,Undirected,9
33,35,Undirected,9
35,34,Undirected,13
34,35,Undirected,13
36,1,Undirected,92
1,36,Undirected,92
36,2,Undirected,80
2,36,Undirected,80
36,3,Undirected,79
3,36,Undirected,79
36,4,Undirected,70
4,36,Undirected,70
36,5,Undirected,18
5,36,Undirected,18
36,6,Undirected,1
6,36,Undirected,1
36,8,Undirected,3
8,36,Undirected,3
36,9,Undirected,6
9,36,Undirected,6
36,10,Undirected,4
10,36,Undirected,4
36,11,Undirected,13
11,36,Undirected,13
36,12,Undirected,5
12,36,Undirected,5
36,13,Undirected,1
13,36,Undirected,1
36,14,Undirected,1
14,36,Undirected,1
36,21,Undirected,2
21,36,Undirected,2
36,22,Undirected,1
22,36,Undirected,1
36,25,Undirected,4
25,36,Undirected,4
36,26,Undirected,1
26,36,Undirected,1
36,27,Undirected,19
27,36,Undirected,19
36,29,Undirected,2
29,36,Undirected,2
36,32,Undirected,1
32,36,Undirected,1
36,33,Undirected,12
33,36,Undirected,12
36,34,Undirected,15
34,36,Undirected,15
36,35,Undirected,27
35,36,Undirected,27
37,1,Undirected,5
1,37,Undirected,5
37,2,Undirected,5
2,37,Undirected,5
37,3,Undirected,5
3,37,Undirected,5
37,4,Undirected,4
4,37,Undirected,4
37,5,Undirected,1
5,37,Undirected,1
37,12,Undirected,1
12,37,Undirected,1
37,27,Undirected,1
27,37,Undirected,1
37,32,Undirected,1
32,37,Undirected,1
37,33,Undirected,1
33,37,Undirected,1
37,34,Undirected,2
34,37,Undirected,2
37,35,Undirected,4
35,37,Undirected,4
37,36,Undirected,3
36,37,Undirected,3
38,1,Undirected,57
1,38,Undirected,57
38,2,Undirected,51
2,38,Undirected,51
38,3,Undirected,47
3,38,Undirected,47
38,4,Undirected,46
4,38,Undirected,46
38,5,Undirected,16
5,38,Undirected,16
38,6,Undirected,1
6,38,Undirected,1
38,8,Undirected,5
8,38,Undirected,5
38,9,Undirected,4
9,38,Undirected,4
38,10,Undirected,4
10,38,Undirected,4
38,11,Undirected,4
11,38,Undirected,4
38,12,Undirected,12
12,38,Undirected,12
38,13,Undirected,1
13,38,Undirected,1
38,21,Undirected,1
21,38,Undirected,1
38,23,Undirected,2
23,38,Undirected,2
38,25,Undirected,2
25,38,Undirected,2
38,27,Undirected,16
27,38,Undirected,16
38,29,Undirected,2
29,38,Undirected,2
38,30,Undirected,2
30,38,Undirected,2
38,32,Undirected,1
32,38,Undirected,1
38,33,Undirected,9
33,38,Undirected,9
38,34,Undirected,13
34,38,Undirected,13
38,35,Undirected,22
35,38,Undirected,22
38,36,Undirected,6
36,38,Undirected,6
38,37,Undirected,1
37,38,Undirected,1
39,1,Undirected,2
1,39,Undirected,2
39,2,Undirected,2
2,39,Undirected,2
39,3,Undirected,2
3,39,Undirected,2
39,4,Undirected,2
4,39,Undirected,2
39,32,Undirected,1
32,39,Undirected,1
39,33,Undirected,1
33,39,Undirected,1
39,34,Undirected,2
34,39,Undirected,2
39,35,Undirected,1
35,39,Undirected,1
39,36,Undirected,2
36,39,Undirected,2
39,37,Undirected,1
37,39,Undirected,1
39,38,Undirected,1
38,39,Undirected,1
40,1,Undirected,1
1,40,Undirected,1
40,2,Undirected,1
2,40,Undirected,1
40,3,Undirected,1
3,40,Undirected,1
40,4,Undirected,1
4,40,Undirected,1
40,32,Undirected,1
32,40,Undirected,1
40,33,Undirected,1
33,40,Undirected,1
40,34,Undirected,1
34,40,Undirected,1
40,35,Undirected,1
35,40,Undirected,1
40,36,Undirected,1
36,40,Undirected,1
40,37,Undirected,1
37,40,Undirected,1
40,38,Undirected,1
38,40,Undirected,1
40,39,Undirected,1
39,40,Undirected,1
41,1,Undirected,39
1,41,Undirected,39
41,2,Undirected,38
2,41,Undirected,38
41,3,Undirected,40
3,41,Undirected,40
41,4,Undirected,35
4,41,Undirected,35
41,5,Undirected,13
5,41,Undirected,13
41,9,Undirected,2
9,41,Undirected,2
41,11,Undirected,2
11,41,Undirected,2
41,12,Undirected,1
12,41,Undirected,1
41,13,Undirected,2
13,41,Undirected,2
41,16,Undirected,1
16,41,Undirected,1
41,19,Undirected,1
19,41,Undirected,1
41,21,Undirected,1
21,41,Undirected,1
41,25,Undirected,1
25,41,Undirected,1
41,27,Undirected,8
27,41,Undirected,8
41,29,Undirected,1
29,41,Undirected,1
41,32,Undirected,1
32,41,Undirected,1
41,33,Undirected,6
33,41,Undirected,6
41,34,Undirected,8
34,41,Undirected,8
41,35,Undirected,12
35,41,Undirected,12
41,36,Undirected,8
36,41,Undirected,8
41,37,Undirected,2
37,41,Undirected,2
41,38,Undirected,6
38,41,Undirected,6
41,39,Undirected,1
39,41,Undirected,1
41,40,Undirected,1
40,41,Undirected,1
42,1,Undirected,93
1,42,Undirected,93
42,2,Undirected,83
2,42,Undirected,83
42,3,Undirected,95
3,42,Undirected,95
42,4,Undirected,84
4,42,Undirected,84
42,5,Undirected,18
5,42,Undirected,18
42,6,Undirected,1
6,42,Undirected,1
42,8,Undirected,12
8,42,Undirected,12
42,9,Undirected,15
9,42,Undirected,15
42,10,Undirected,12
10,42,Undirected,12
42,11,Undirected,3
11,42,Undirected,3
42,12,Undirected,12
12,42,Undirected,12
42,13,Undirected,3
13,42,Undirected,3
42,14,Undirected,1
14,42,Undirected,1
42,17,Undirected,1
17,42,Undirected,1
42,20,Undirected,1
20,42,Undirected,1
42,21,Undirected,4
21,42,Undirected,4
42,25,Undirected,9
25,42,Undirected,9
42,27,Undirected,25
27,42,Undirected,25
42,28,Undirected,1
28,42,Undirected,1
42,31,Undirected,1
31,42,Undirected,1
42,32,Undirected,1
32,42,Undirected,1
42,33,Undirected,11
33,42,Undirected,11
42,34,Undirected,18
34,42,Undirected,18
42,35,Undirected,14
35,42,Undirected,14
42,36,Undirected,16
36,42,Undirected,16
42,37,Undirected,1
37,42,Undirected,1
42,38,Undirected,13
38,42,Undirected,13
42,39,Undirected,2
39,42,Undirected,2
42,40,Undirected,1
40,42,Undirected,1
42,41,Undirected,10
41,42,Undirected,10
43,1,Undirected,60
1,43,Undirected,60
43,2,Undirected,44
2,43,Undirected,44
43,3,Undirected,45
3,43,Undirected,45
43,4,Undirected,38
4,43,Undirected,38
43,5,Undirected,13
5,43,Undirected,13
43,8,Undirected,1
8,43,Undirected,1
43,9,Undirected,4
9,43,Undirected,4
43,10,Undirected,2
10,43,Undirected,2
43,11,Undirected,2
11,43,Undirected,2
43,12,Undirected,7
12,43,Undirected,7
43,13,Undirected,2
13,43,Undirected,2
43,20,Undirected,1
20,43,Undirected,1
43,21,Undirected,1
21,43,Undirected,1
43,25,Undirected,1
25,43,Undirected,1
43,27,Undirected,12
27,43,Undirected,12
43,29,Undirected,1
29,43,Undirected,1
43,30,Undirected,3
30,43,Undirected,3
43,32,Undirected,1
32,43,Undirected,1
43,33,Undirected,5
33,43,Undirected,5
43,34,Undirected,9
34,43,Undirected,9
43,35,Undirected,53
35,43,Undirected,53
43,36,Undirected,9
36,43,Undirected,9
43,37,Undirected,1
37,43,Undirected,1
43,38,Undirected,8
38,43,Undirected,8
43,39,Undirected,1
39,43,Undirected,1
43,40,Undirected,1
40,43,Undirected,1
43,41,Undirected,7
41,43,Undirected,7
43,42,Undirected,14
42,43,Undirected,14
44,1,Undirected,14
1,44,Undirected,14
44,2,Undirected,12
2,44,Undirected,12
44,3,Undirected,15
3,44,Undirected,15
44,4,Undirected,15
4,44,Undirected,15
44,5,Undirected,3
5,44,Undirected,3
44,8,Undirected,1
8,44,Undirected,1
44,9,Undirected,1
9,44,Undirected,1
44,10,Undirected,1
10,44,Undirected,1
44,11,Undirected,1
11,44,Undirected,1
44,12,Undirected,1
12,44,Undirected,1
44,13,Undirected,2
13,44,Undirected,2
44,18,Undirected,1
18,44,Undirected,1
44,19,Undirected,1
19,44,Undirected,1
44,20,Undirected,1
20,44,Undirected,1
44,21,Undirected,1
21,44,Undirected,1
44,25,Undirected,1
25,44,Undirected,1
44,27,Undirected,5
27,44,Undirected,5
44,30,Undirected,1
30,44,Undirected,1
44,32,Undirected,1
32,44,Undirected,1
44,33,Undirected,3
33,44,Undirected,3
44,34,Undirected,4
34,44,Undirected,4
44,35,Undirected,4
35,44,Undirected,4
44,36,Undirected,4
36,44,Undirected,4
44,37,Undirected,1
37,44,Undirected,1
44,38,Undirected,2
38,44,Undirected,2
44,39,Undirected,1
39,44,Undirected,1
44,40,Undirected,1
40,44,Undirected,1
44,41,Undirected,8
41,44,Undirected,8
44,42,Undirected,6
42,44,Undirected,6
44,43,Undirected,4
43,44,Undirected,4
45,1,Undirected,105
1,45,Undirected,105
45,2,Undirected,90
2,45,Undirected,90
45,3,Undirected,87
3,45,Undirected,87
45,4,Undirected,87
4,45,Undirected,87
45,5,Undirected,27
5,45,Undirected,27
45,8,Undirected,12
8,45,Undirected,12
45,9,Undirected,14
9,45,Undirected,14
45,10,Undirected,11
10,45,Undirected,11
45,11,Undirected,7
11,45,Undirected,7
45,12,Undirected,18
12,45,Undirected,18
45,16,Undirected,3
16,45,Undirected,3
45,21,Undirected,1
21,45,Undirected,1
45,23,Undirected,1
23,45,Undirected,1
45,25,Undirected,7
25,45,Undirected,7
45,26,Undirected,1
26,45,Undirected,1
45,27,Undirected,28
27,45,Undirected,28
45,29,Undirected,3
29,45,Undirected,3
45,30,Undirected,4
30,45,Undirected,4
45,31,Undirected,1
31,45,Undirected,1
45,32,Undirected,1
32,45,Undirected,1
45,33,Undirected,15
33,45,Undirected,15
45,34,Undirected,23
34,45,Undirected,23
45,35,Undirected,32
35,45,Undirected,32
45,36,Undirected,19
36,45,Undirected,19
45,37,Undirected,2
37,45,Undirected,2
45,38,Undirected,28
38,45,Undirected,28
45,39,Undirected,2
39,45,Undirected,2
45,40,Undirected,1
40,45,Undirected,1
45,41,Undirected,13
41,45,Undirected,13
45,42,Undirected,22
42,45,Undirected,22
45,43,Undirected,20
43,45,Undirected,20
45,44,Undirected,7
44,45,Undirected,7
46,1,Undirected,115
1,46,Undirected,115
46,2,Undirected,107
2,46,Undirected,107
46,3,Undirected,121
3,46,Undirected,121
46,4,Undirected,104
4,46,Undirected,104
46,5,Undirected,26
5,46,Undirected,26
46,8,Undirected,11
8,46,Undirected,11
46,9,Undirected,15
9,46,Undirected,15
46,10,Undirected,11
10,46,Undirected,11
46,11,Undirected,9
11,46,Undirected,9
46,12,Undirected,14
12,46,Undirected,14
46,13,Undirected,1
13,46,Undirected,1
46,14,Undirected,2
14,46,Undirected,2
46,15,Undirected,1
15,46,Undirected,1
46,16,Undirected,9
16,46,Undirected,9
46,17,Undirected,1
17,46,Undirected,1
46,21,Undirected,2
21,46,Undirected,2
46,22,Undirected,1
22,46,Undirected,1
46,23,Undirected,1
23,46,Undirected,1
46,25,Undirected,11
25,46,Undirected,11
46,26,Undirected,3
26,46,Undirected,3
46,27,Undirected,22
27,46,Undirected,22
46,29,Undirected,3
29,46,Undirected,3
46,30,Undirected,2
30,46,Undirected,2
46,31,Undirected,1
31,46,Undirected,1
46,32,Undirected,1
32,46,Undirected,1
46,33,Undirected,18
33,46,Undirected,18
46,34,Undirected,26
34,46,Undirected,26
46,35,Undirected,28
35,46,Undirected,28
46,36,Undirected,24
36,46,Undirected,24
46,37,Undirected,4
37,46,Undirected,4
46,38,Undirected,12
38,46,Undirected,12
46,39,Undirected,2
39,46,Undirected,2
46,40,Undirected,1
40,46,Undirected,1
46,41,Undirected,13
41,46,Undirected,13
46,42,Undirected,38
42,46,Undirected,38
46,43,Undirected,10
43,46,Undirected,10
46,44,Undirected,5
44,46,Undirected,5
46,45,Undirected,28
45,46,Undirected,28
47,1,Undirected,2
1,47,Undirected,2
47,2,Undirected,2
2,47,Undirected,2
47,3,Undirected,2
3,47,Undirected,2
47,4,Undirected,1
4,47,Undirected,1
47,35,Undirected,1
35,47,Undirected,1
48,1,Undirected,4
1,48,Undirected,4
48,2,Undirected,3
2,48,Undirected,3
48,3,Undirected,3
3,48,Undirected,3
48,4,Undirected,3
4,48,Undirected,3
48,5,Undirected,1
5,48,Undirected,1
48,12,Undirected,2
12,48,Undirected,2
48,29,Undirected,1
29,48,Undirected,1
48,30,Undirected,1
30,48,Undirected,1
48,35,Undirected,1
35,48,Undirected,1
48,42,Undirected,1
42,48,Undirected,1
48,43,Undirected,1
43,48,Undirected,1
48,47,Undirected,1
47,48,Undirected,1
49,1,Undirected,1
1,49,Undirected,1
49,2,Undirected,1
2,49,Undirected,1
49,3,Undirected,1
3,49,Undirected,1
49,4,Undirected,1
4,49,Undirected,1
49,33,Undirected,1
33,49,Undirected,1
49,34,Undirected,1
34,49,Undirected,1
49,35,Undirected,1
35,49,Undirected,1
50,1,Undirected,30
1,50,Undirected,30
50,2,Undirected,29
2,50,Undirected,29
50,3,Undirected,27
3,50,Undirected,27
50,4,Undirected,27
4,50,Undirected,27
50,5,Undirected,5
5,50,Undirected,5
50,8,Undirected,4
8,50,Undirected,4
50,9,Undirected,4
9,50,Undirected,4
50,10,Undirected,3
10,50,Undirected,3
50,12,Undirected,5
12,50,Undirected,5
50,13,Undirected,2
13,50,Undirected,2
50,21,Undirected,1
21,50,Undirected,1
50,25,Undirected,3
25,50,Undirected,3
50,27,Undirected,5
27,50,Undirected,5
50,31,Undirected,1
31,50,Undirected,1
50,33,Undirected,2
33,50,Undirected,2
50,34,Undirected,2
34,50,Undirected,2
50,35,Undirected,13
35,50,Undirected,13
50,36,Undirected,4
36,50,Undirected,4
50,37,Undirected,1
37,50,Undirected,1
50,38,Undirected,4
38,50,Undirected,4
50,41,Undirected,4
41,50,Undirected,4
50,42,Undirected,5
42,50,Undirected,5
50,43,Undirected,7
43,50,Undirected,7
50,45,Undirected,6
45,50,Undirected,6
50,46,Undirected,5
46,50,Undirected,5
51,1,Undirected,1
1,51,Undirected,1
51,3,Undirected,1
3,51,Undirected,1
51,4,Undirected,1
4,51,Undirected,1
51,5,Undirected,1
5,51,Undirected,1
51,13,Undirected,1
13,51,Undirected,1
51,33,Undirected,1
33,51,Undirected,1
51,34,Undirected,1
34,51,Undirected,1
51,50,Undirected,1
50,51,Undirected,1
52,1,Undirected,7
1,52,Undirected,7
52,2,Undirected,6
2,52,Undirected,6
52,3,Undirected,4
3,52,Undirected,4
52,4,Undirected,3
4,52,Undirected,3
52,5,Undirected,1
5,52,Undirected,1
52,9,Undirected,1
9,52,Undirected,1
52,10,Undirected,1
10,52,Undirected,1
52,13,Undirected,1
13,52,Undirected,1
52,33,Undirected,1
33,52,Undirected,1
52,34,Undirected,1
34,52,Undirected,1
52,35,Undirected,1
35,52,Undirected,1
52,42,Undirected,2
42,52,Undirected,2
52,46,Undirected,1
46,52,Undirected,1
52,50,Undirected,2
50,52,Undirected,2
52,51,Undirected,1
51,52,Undirected,1
53,1,Undirected,4
1,53,Undirected,4
53,2,Undirected,4
2,53,Undirected,4
53,3,Undirected,4
3,53,Undirected,4
53,4,Undirected,4
4,53,Undirected,4
53,5,Undirected,4
5,53,Undirected,4
53,8,Undirected,1
8,53,Undirected,1
53,9,Undirected,1
9,53,Undirected,1
53,10,Undirected,1
10,53,Undirected,1
53,12,Undirected,1
12,53,Undirected,1
53,21,Undirected,1
21,53,Undirected,1
